
03/01/2018: Error: Uncaught TypeError: Cannot read property 'ciao' of undefined, Script: http://localhost/js/PONTEGGI_SOSPESI/FormPonteggioSospeso.js  Line: 151
04/01/2018, 07:01:27: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 429
04/01/2018, 07:01:34: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 429
04/01/2018, 07:01:53: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 432
04/01/2018, 07:01:23: Error: Uncaught SyntaxError: Unexpected token u in JSON at position 0, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
04/01/2018, 07:01:52: Error: Uncaught ReferenceError: totale is not defined, Script: http://localhost/js/Menu.js  Line: 353
04/01/2018, 07:01:56: Error: Uncaught ReferenceError: totale is not defined, Script: http://localhost/js/Menu.js  Line: 353
04/01/2018, 07:01:09: Error: Uncaught ReferenceError: totale is not defined, Script: http://localhost/js/Menu.js  Line: 353
04/01/2018, 07:01:52: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 07:01:20: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 07:01:43: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 07:01:16: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 07:01:03: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 07:01:47: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:28: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:21: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:08: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:31: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:28: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:47: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:14: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:58: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:35: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:59: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:21: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:04: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:37: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:32: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:53: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
04/01/2018, 08:01:30: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
05/01/2018, 08:01:57: Error: Uncaught TypeError: Cannot read property 'codice' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 08:01:34: Error: Uncaught TypeError: Cannot read property 'codice' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 08:01:36: Error: Uncaught TypeError: Cannot read property 'codice' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 09:01:50: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
05/01/2018, 09:01:30: Error: Uncaught TypeError: Cannot read property 'loader' of undefined, Script: http://localhost/js/Menu.js  Line: 457
05/01/2018, 10:01:23: Error: Uncaught TypeError: Cannot read property 'ruolo' of null, Script: http://localhost/js/Menu.js  Line: 109
05/01/2018, 10:01:33: Error: Uncaught ReferenceError: sconto is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 01:01:30: Error: Uncaught TypeError: Cannot read property 'tipologia' of undefined, Script: http://localhost/  Line: 535
05/01/2018, 01:01:02: Error: Uncaught TypeError: Cannot read property 'codice' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 01:01:12: Error: Uncaught TypeError: Cannot read property 'codice' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 01:01:00: Error: Uncaught TypeError: Cannot read property 'codice' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 02:01:13: Error: Uncaught ReferenceError: tot is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 02:01:32: Error: Uncaught SyntaxError: Unexpected token ., Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 02:01:29: Error: Uncaught ReferenceError: registerCookie is not defined, Script: http://localhost/  Line: 290
05/01/2018, 03:01:32: Error: Uncaught ReferenceError: cookieSelezione is not defined, Script: http://localhost/  Line: 443
05/01/2018, 04:01:51: Error: Uncaught TypeError: Cannot set property 'quantita' of undefined, Script: http://localhost/  Line: 578
05/01/2018, 05:01:37: Error: Uncaught TypeError: Cannot set property 'selezione' of undefined, Script: http://localhost/  Line: 277
05/01/2018, 05:01:51: Error: Uncaught TypeError: Cannot read property 'prodotto' of undefined, Script: http://localhost/  Line: 421
05/01/2018, 05:01:20: Error: Uncaught TypeError: Cannot read property 'costo_totale' of undefined, Script: http://localhost/  Line: 394
05/01/2018, 05:01:32: Error: Uncaught TypeError: Cannot read property 'costo_totale' of undefined, Script: http://localhost/  Line: 394
05/01/2018, 05:01:29: Error: Uncaught ReferenceError: totaleProdotto is not defined, Script: http://localhost/  Line: 397
05/01/2018, 06:01:34: Error: Uncaught SyntaxError: Unexpected token :, Script: http://localhost/  Line: 1
05/01/2018, 06:01:09: Error: Uncaught TypeError: Cannot set property 'sconto' of undefined, Script: http://localhost/  Line: 1
05/01/2018, 06:01:37: Error: Uncaught TypeError: Cannot read property 'quantita' of undefined, Script: http://localhost/  Line: 125
05/01/2018, 06:01:24: Error: Uncaught TypeError: Cannot read property 'L' of undefined, Script: http://localhost/  Line: 66
05/01/2018, 07:01:07: Error: Uncaught TypeError: Cannot read property 'L' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 08:01:23: Error: Uncaught TypeError: Cannot read property 'ruolo' of null, Script: http://localhost/js/Menu.js  Line: 109
05/01/2018, 09:01:07: Error: Uncaught TypeError: obj.viewRiepilogo is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 09:01:38: Error: Uncaught TypeError: obj.viewRiepilogo is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 09:01:08: Error: Uncaught ReferenceError: cookieSelezione is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 09:01:36: Error: Uncaught ReferenceError: cookieSelezione is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 09:01:11: Error: Uncaught TypeError: Cannot read property 'L' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 09:01:00: Error: Uncaught TypeError: Cannot read property 'grigliaSuperiore' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 09:01:44: Error: Uncaught TypeError: $(...).datepicker is not a function, Script: http://localhost/js/Preventivi/Preventivi.js  Line: 787
05/01/2018, 09:01:29: Error: Uncaught TypeError: $(...).datepicker is not a function, Script: http://localhost/js/Preventivi/Preventivi.js  Line: 787
05/01/2018, 09:01:21: Error: Uncaught ReferenceError: totale_prodotto is not defined, Script: http://localhost/  Line: 193
05/01/2018, 09:01:45: Error: Uncaught ReferenceError: prezoTotale is not defined, Script: http://localhost/  Line: 402
05/01/2018, 10:01:29: Error: Uncaught TypeError: obj.viewRiepilogo is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
05/01/2018, 10:01:32: Error: Uncaught TypeError: _this.obj.aggiornaRiepilogo is not a function, Script: http://localhost/  Line: 323
06/01/2018, 08:01:42: Error: Uncaught TypeError: Cannot read property 'L' of undefined, Script: http://localhost/  Line: 144
06/01/2018, 08:01:28: Error: Uncaught ReferenceError: quantita is not defined, Script: http://localhost/  Line: 207
06/01/2018, 08:01:50: Error: Uncaught TypeError: Cannot read property 'codice' of undefined, Script: http://localhost/  Line: 338
06/01/2018, 08:01:18: Error: Uncaught TypeError: Cannot read property 'length' of undefined, Script: http://localhost/  Line: 387
06/01/2018, 08:01:40: Error: Uncaught TypeError: Cannot read property 'costo' of undefined, Script: http://localhost/  Line: 460
06/01/2018, 08:01:48: Error: Uncaught ReferenceError: tmpQuantita is not defined, Script: http://localhost/  Line: 501
06/01/2018, 09:01:27: Error: Uncaught ReferenceError: totV is not defined, Script: http://localhost/  Line: 517
06/01/2018, 09:01:46: Error: Uncaught ReferenceError: totaleProdotto is not defined, Script: http://localhost/  Line: 794
06/01/2018, 09:01:07: Error: Uncaught TypeError: _this.obj.getPrezzoScontato is not a function, Script: http://localhost/  Line: 29
06/01/2018, 10:01:51: Error: Uncaught TypeError: Cannot set property 'riferimento' of null, Script: http://localhost/  Line: 831
06/01/2018, 10:01:59: Error: Uncaught TypeError: Cannot read property 'ruolo' of null, Script: http://localhost/js/Menu.js  Line: 109
06/01/2018, 10:01:50: Error: Uncaught TypeError: obj.viewRiepilogo is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:29: Error: Uncaught ReferenceError: isAccessori is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 11:01:11: Error: Uncaught TypeError: Cannot read property 'substring' of undefined, Script: http://localhost/  Line: 258
06/01/2018, 11:01:31: Error: Uncaught TypeError: Cannot set property 'quantitaUnitaria' of undefined, Script: http://localhost/  Line: 270
06/01/2018, 12:01:21: Error: Uncaught TypeError: Cannot read property 'prodotto' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 12:01:02: Error: Uncaught TypeError: Cannot read property 'prodotto' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 12:01:25: Error: Uncaught TypeError: Cannot read property 'prodotto' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 01:01:21: Error: Uncaught TypeError: Cannot read property 'quantita' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 01:01:42: Error: Uncaught TypeError: Cannot read property 'quantita' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 02:01:38: Error: Uncaught TypeError: location.refresh is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 02:01:13: Error: Uncaught TypeError: location.refresh is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 02:01:58: Error: Uncaught TypeError: Cannot read property 'codice' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 04:01:07: Error: Uncaught TypeError: Cannot read property 'dx' of undefined, Script: http://localhost/  Line: 248
06/01/2018, 04:01:04: Error: Uncaught ReferenceError: cookie is not defined, Script: http://localhost/  Line: 643
06/01/2018, 04:01:06: Error: Uncaught TypeError: Cannot read property 'totale_non_scontato' of undefined, Script: http://localhost/  Line: 656
06/01/2018, 04:01:04: Error: Uncaught ReferenceError: totaleProdotto is not defined, Script: http://localhost/  Line: 704
06/01/2018, 04:01:18: Error: Uncaught TypeError: Cannot read property 'totale_non_scontato' of undefined, Script: http://localhost/  Line: 731
06/01/2018, 04:01:04: Error: Uncaught TypeError: Cannot read property 'length' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 3
06/01/2018, 05:01:58: Error: Uncaught TypeError: Cannot read property 'totale_non_scontato' of undefined, Script: http://localhost/  Line: 746
06/01/2018, 06:01:41: Error: Uncaught TypeError: Cannot read property 'sconto' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 06:01:21: Error: Uncaught TypeError: Cannot read property 'sconto' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 06:01:42: Error: Uncaught TypeError: Cannot read property 'sconto' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 06:01:22: Error: Uncaught TypeError: Cannot read property 'length' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 06:01:37: Error: Uncaught TypeError: Cannot read property 'length' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 06:01:02: Error: Uncaught TypeError: Cannot read property 'dx' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 06:01:14: Error: Uncaught TypeError: Cannot read property 'dx' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 06:01:32: Error: Uncaught TypeError: Cannot read property 'dx' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 06:01:01: Error: Uncaught TypeError: Cannot use 'in' operator to search for '0' in 5, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 06:01:15: Error: Uncaught TypeError: Cannot use 'in' operator to search for '0' in 5, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 06:01:52: Error: Uncaught TypeError: Cannot use 'in' operator to search for '0' in 2, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 07:01:45: Error: Uncaught ReferenceError: dato is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 07:01:11: Error: Uncaught TypeError: Cannot read property 'substring' of undefined, Script: http://localhost/  Line: 262
06/01/2018, 07:01:21: Error: Uncaught TypeError: Cannot read property 'substring' of undefined, Script: http://localhost/  Line: 262
06/01/2018, 07:01:23: Error: Uncaught TypeError: Cannot read property 'substring' of undefined, Script: http://localhost/  Line: 262
06/01/2018, 07:01:24: Error: Uncaught TypeError: Cannot read property 'substring' of undefined, Script: http://localhost/  Line: 262
06/01/2018, 07:01:26: Error: Uncaught TypeError: Cannot read property 'substring' of undefined, Script: http://localhost/  Line: 262
06/01/2018, 07:01:47: Error: Uncaught TypeError: Cannot read property 'substring' of undefined, Script: http://localhost/  Line: 253
06/01/2018, 07:01:49: Error: Uncaught TypeError: Cannot read property 'substring' of undefined, Script: http://localhost/  Line: 253
06/01/2018, 07:01:05: Error: Uncaught SyntaxError: Unexpected token (, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 07:01:35: Error: Uncaught SyntaxError: Unexpected token (, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 07:01:31: Error: Uncaught ReferenceError: datoPassaggioPedonale is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 07:01:58: Error: Uncaught ReferenceError: none is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 08:01:20: Error: Uncaught TypeError: Cannot read property 'ruolo' of null, Script: http://localhost/js/Menu.js  Line: 109
06/01/2018, 08:01:50: Error: Uncaught TypeError: Cannot read property 'L' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 08:01:09: Error: Uncaught TypeError: Cannot read property 'L' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 08:01:37: Error: Uncaught TypeError: Cannot read property 'L' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 08:01:00: Error: Uncaught TypeError: Cannot read property 'L' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 08:01:32: Error: Uncaught TypeError: Cannot read property 'L' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 08:01:03: Error: Uncaught TypeError: Cannot read property 'L' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 08:01:22: Error: Uncaught TypeError: Cannot read property 'L' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:39: Error: Uncaught ReferenceError: cookieSelezione is not defined, Script: http://localhost/  Line: 391
06/01/2018, 10:01:44: Error: Uncaught TypeError: Cannot read property 'prodotto' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:27: Error: Uncaught TypeError: Cannot read property 'prodotto' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:19: Error: Uncaught TypeError: Cannot read property 'L' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:05: Error: Uncaught TypeError: Cannot read property 'accessori' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:27: Error: Uncaught TypeError: Cannot read property 'accessori' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:22: Error: Uncaught ReferenceError: riepilogo is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:59: Error: Uncaught TypeError: Cannot read property 'tipologia' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:35: Error: Uncaught TypeError: Cannot read property 'accessori' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:45: Error: Uncaught TypeError: Cannot read property 'accessori' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:41: Error: Uncaught ReferenceError: siAccessori is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:28: Error: Uncaught TypeError: Cannot read property 'L' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:57: Error: Uncaught TypeError: Cannot read property 'L' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:31: Error: Uncaught TypeError: Cannot read property 'tipologia' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
06/01/2018, 10:01:34: Error: Uncaught TypeError: jsonDescrizione.totale.format is not a function, Script: http://localhost/js/Carrello/Carrello.js  Line: 121
06/01/2018, 10:01:45: Error: Uncaught TypeError: jsonDescrizione.totale.format is not a function, Script: http://localhost/js/Carrello/Carrello.js  Line: 121
07/01/2018, 08:01:55: Error: Uncaught ReferenceError: cookieSelezione is not defined, Script: http://localhost/  Line: 357
07/01/2018, 08:01:17: Error: Uncaught ReferenceError: cookieSelezione is not defined, Script: http://localhost/  Line: 341
07/01/2018, 08:01:54: Error: Uncaught TypeError: _this.obj.aggiornaRiepilogo is not a function, Script: http://localhost/  Line: 334
07/01/2018, 08:01:52: Error: Uncaught ReferenceError: cookieSelezione is not defined, Script: http://localhost/  Line: 356
07/01/2018, 08:01:48: Error: Uncaught SyntaxError: Unexpected end of JSON input, Script: http://localhost/  Line: 1
07/01/2018, 08:01:31: Error: Uncaught SyntaxError: Unexpected end of JSON input, Script: http://localhost/  Line: 1
07/01/2018, 08:01:43: Error: Uncaught SyntaxError: Unexpected end of JSON input, Script: http://localhost/  Line: 1
07/01/2018, 08:01:54: Error: Uncaught TypeError: Cannot read property 'success' of null, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
07/01/2018, 08:01:01: Error: Uncaught ReferenceError: articoli is not defined, Script: http://localhost/js/Carrello/Carrello.js  Line: 391
07/01/2018, 08:01:25: Error: Uncaught ReferenceError: articoli is not defined, Script: http://localhost/js/Carrello/Carrello.js  Line: 391
07/01/2018, 09:01:10: Error: Uncaught TypeError: Cannot read property 'quantita' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
07/01/2018, 09:01:02: Error: Uncaught TypeError: Cannot read property 'quantita' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
07/01/2018, 04:01:41: Error: Uncaught ReferenceError: tipo is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
07/01/2018, 04:01:52: Error: Uncaught ReferenceError: tipo is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
07/01/2018, 04:01:06: Error: Uncaught TypeError: Cannot read property 'sopraluce' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
07/01/2018, 04:01:45: Error: Uncaught TypeError: Cannot read property 'sopraluce' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
07/01/2018, 04:01:53: Error: Uncaught TypeError: Cannot read property 'sopraluce' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
07/01/2018, 04:01:02: Error: Uncaught TypeError: Cannot read property 'sopraluce' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
08/01/2018, 09:01:25: Error: Uncaught ReferenceError: tmp is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
08/01/2018, 10:01:20: Error: Uncaught ReferenceError: codice_approvazione is not defined, Script: http://localhost/js/Utente/GestioneUtenti.js  Line: 430
08/01/2018, 10:01:37: Error: Uncaught ReferenceError: codicePreventivazione is not defined, Script: http://localhost/js/Utente/GestioneUtenti.js  Line: 386
09/01/2018, 08:01:44: Error: Uncaught ReferenceError: datoUtenti is not defined, Script: http://localhost/js/Carrello/Carrello.js  Line: 50
09/01/2018, 08:01:22: Error: Uncaught TypeError: Cannot read property 'length' of undefined, Script: http://localhost/js/Carrello/Carrello.js  Line: 50
09/01/2018, 08:01:39: Error: Uncaught TypeError: Cannot read property '0' of undefined, Script: http://localhost/js/Carrello/Carrello.js  Line: 51
09/01/2018, 08:01:56: Error: Uncaught TypeError: Cannot read property 'tipologia' of undefined, Script: http://localhost/js/Carrello/Carrello.js  Line: 58
09/01/2018, 09:01:35: Error: Uncaught TypeError: _this.obj.aggiornaRiepilogo is not a function, Script: http://localhost/  Line: 417
09/01/2018, 09:01:20: Error: Uncaught ReferenceError: artcoli_selezionati is not defined, Script: http://localhost/js/Carrello/Carrello.js  Line: 303
09/01/2018, 09:01:29: Error: Uncaught TypeError: _this.obj.aggiornaRiepilogo is not a function, Script: http://localhost/  Line: 417
09/01/2018, 10:01:18: Error: Uncaught ReferenceError: i is not defined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
09/01/2018, 06:01:29: Error: Uncaught TypeError: Cannot read property 'results' of null, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
09/01/2018, 06:01:53: Error: Uncaught TypeError: Cannot read property 'id_cliente' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
09/01/2018, 06:01:55: Error: Uncaught TypeError: elem.addClass is not a function, Script: http://localhost/js/Menu.js  Line: 206
09/01/2018, 06:01:49: Error: Uncaught TypeError: elem.addClass is not a function, Script: http://localhost/js/Menu.js  Line: 206
09/01/2018, 06:01:35: Error: Uncaught TypeError: elem.addClass is not a function, Script: http://localhost/js/Menu.js  Line: 206
09/01/2018, 06:01:27: Error: Uncaught TypeError: Cannot read property 'remove' of undefined, Script: http://localhost/js/Clienti/Clienti.js  Line: 845
09/01/2018, 06:01:25: Error: Uncaught TypeError: Cannot read property 'remove' of undefined, Script: http://localhost/js/Clienti/Clienti.js  Line: 846
09/01/2018, 07:01:33: Error: Uncaught TypeError: _this.loadSezione is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
09/01/2018, 07:01:19: Error: Uncaught TypeError: _this.loadSezione is not a function, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
09/01/2018, 07:01:35: Error: Uncaught TypeError: Cannot read property 'success' of null, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
09/01/2018, 07:01:14: Error: Uncaught TypeError: Cannot read property 'codice_cliente' of undefined, Script: http://localhost/js/jquery-1.9.1.min.js  Line: 5
09/01/2018, 09:01:09: Error: Uncaught TypeError: _this.obj.aggiornaRiepilogo is not a function, Script: http://localhost/  Line: 417
